Translation Key,Translated Value
st_af_cristall_name,«Кристалл»
st_wpn_aug_merc,Модифицированная Steyr AUG A1
st_wpn_gsh18,ГШ-18
st_mine_name,Осколочная противопехотная мина
ui_st_rank,Ранг
st_data_export_eat_alcohol,Алкоголь
st_rank_gauss,отряд с гаусс-пушкой
st_barrel_10,Ствол [П] 7.62мм
st_grenade_smoke,Дымовая граната
st_data_export_falloff,Падение урона
st_itm_backpack_name,Полевой рюкзак
lttz_ll_wpn_gauss_quest_name,«Изделие №62»
st_sausage,Копчёная колбаса
st_bolt_carrier_4,Продольно-скользящий затвор с запиранием перекосом
bandit_exo_outfit_name,Украденный экзоскелет
st_wpn_sig550_strelok,SIG SG550 «Arrow»
st_af_fireball_name,«Огненный шар»
bandit_sun_outfit_name,Тактический комбинезон «Вечерняя заря»
st_wpn_umirotvoritel,Неопознанное оружие
helm_ranger,Противогаз ГП-10Р
st_wpn_rpk,РПК
st_prt_o_ballistic_2,Пластины из кевлара «Protera» с укреплёнными керамическими вставками
st_wpn_lr300_camo,Камуфлированная LR-300ML
st_mint,Мятные конфеты «Altoids»
st_wpn_toz194,ТОЗ-194
exo_merc_grass_outfit_name,ТБ-1 наёмников «Саванна»
st_wpn_sig552,SIG SG552 Commando
st_wpn_usp_nimble,USP «Марш»
merc_nighthunter_outfit_name,Бронежилет наёмников «Ночной хищник»
exo_dolg_urban_outfit_name,ПСЗ-10г «Боевая защита»
st_wpn_mossberg590,Mossberg 590A1
st_wpn_l85_custom,Заказная L85A1
st_upgr_o_damage,Компенсационные бронепластины
st_af_fire_name,«Пламя»
st_wpn_svu_alt,ОЦ-03 СВУ (Альтернативная)
st_af_dummy_battery_name,«Батарейка»
st_wpn_vz61,Skorpion vz.61
csky_light_novice_outfit_name,Бронежилет ЧН-1а
military_exo_outfit_name,Армейский экзоскелет
svoboda_novice_outfit_name,Куртка «Свободы»
st_af_full_empty_name,«Полная Пустышка»
st_upgr_cost,Стоимость
st_prt_o_ballistic_14,Самодельные бронепластины из полиэтилена
st_itm_mapkit_9,Карта аномалий (Агропром)
csky_light_outfit_name,Бронежилет ЧН-2а
exolight_outfit_name,Тяжёлый бронекостюм
st_rope,Верёвка
dolg_scientific_outfit_name,ПС5-9Мд «Универсальная защита»
st_joint,Косяк конопли
st_wpn_aek971_camo,AEK-971 с камуфляжем «Долга»
st_broken_detector,Сломанный детектор
svoboda_light_outfit_name,Комбинезон «Ветер свободы»
nbc_outfit_name,Комбинезон РХБЗ
ammo-7.62x25-ps,Патроны 7,62x25 мм Пст
st_af_grid_up_name,Титановый элемент каркаса
st_af_electra_moonlight_name,«Лунный свет»
ui_ammo_types,Боеприпасы
ui_inv_reli,ui_inv_reli
st_af_ring_name,«Белый обруч»
ui_inv_handling,Удобность
ui_mm_repair,Отремонтировать
st_wpn_xm8,HK XM8
st_wpn_wa2000,Walther WA 2000
renegade_exo_outfit_name,Экзоскелет ренегатов
st_wpn_vintorez_nimble,ВСС «Прибой»
st_wpn_vintorez_alt,ВСС «Винторез» (Альтернативный)
st_barrel_8,Ствол [А] 5.45мм
st_wpn_toz34_mark4,ТОЗ-34 «Зубр»
st_wpn_svu_nimble,ОЦ-03 СВУ-A
st_prt_o_ballistic_10,Пластины из полиэтилена «А-типа» с бронежилетом
st_prt_o_retardant_2,Многослойные электрозащитные и химостойкие ткани
st_af_aac_name,Прикладной контейнер артефактов (пустой)
st_prop_restore_health,Восстановление здоровья
st_wpn_colt1911_alt,Colt M1911 (Альтернативный)
st_wpn_remington700,Remington 700
st_wpn_pkm_zulus,ПКМ Зулуса
st_wpn_mp5_nimble,MP5A3 «Фрезер»
merc_scientific_outfit_name,Научный комбинезон наёмников
st_wpn_m24,M24 SWS «Green Dragon»
st_wpn_colt1911_duty,Colt M1911 с камуфляжем «Долга»
st_wpn_hk417,HK417
st_wpn_fn57,FN Five-seveN
st_mirror,Телескопическое зеркало
st_wpn_groza_nimble,ОЦ-14-1А «Гроза-1»
st_batteries,Набор батареек
merc_sunset_outfit_name,Лёгкий комбинезон «Закат»
st_wpn_mp5sd,MP5SD6
BR,BR
st_data_export_heavy_attack_power,Сила тяжелой атаки
merc_jackal_outfit_name,Лёгкий тактический костюм «Шакал»
dolg_heavy_redline_outfit_name,ПСЗ-9Кл «Щит "Долга"»
st_data_export_light_attack_power,Сила легкой атаки
st_data_export_outfit_artefact_count_max,Максимальное кол-во слотов
ui_inv_outfit_artefact_count,Кол-во слотов
st_wpn_famas3,FAMAS F3
st_prt_w_p_spring_3,Возвратная пружина .45
st_wpn_aug_a3,Steyr AUG A3
st_wpn_ak74u_camo,Камуфлированный АКС-74У
ui_inv_outfit_power_restore,Выносливость
st_wpn_ump45,UMP-45
st_wpn_ak74m_pk-a,АК-74М «ПК-А»
exo_dolg_outfit_name,ПСЗ-10Дм «Тяжёлая защита»
stalker_autumn_outfit_name,Комбинезон «Лесная заря»
st_data_export_eat_health_change,Изменение здоровья
st_survival_kit,Малый комплект выживания
st_wpn_sig220,SIG P220
monolith_outfit_name,Комбинезон «Монолита»
st_af_star_phantom_name,«Призрачная звезда»
st_stim_scientic,Экспериментальный научный стимулятор
st_wpn_vsk94,ВСК-94
st_gas_tube_5,Газовая трубка [А|В][Россия]
st_wpn_fal,FN FAL
bandit_scientific_dark_outfit_name,Кустарный комбинезон с ЗСД
military_proto_exo_outfit_name,Бронекостюм «СКАТ-9» с протоэкзоскелетом
st_wpn_ak74u_old,Старый АКС-74У
st_bolt_14,Роликовая личинка [А|ПП]
st_vodka_quality,Водка «Столичная»
st_bolt_carrier_3,Продольно-скользящий затвор с запиранием поворотом [НАТО]
st_steel_wool,Стальная пряжа
st_shovel_mili,Сапёрная лопатка
st_jewelry_box,Шкатулка с драгоценностями
merc_nosorog_outfit_name,Экзоскелет «Носорог» наёмников
st_data_export_power_restore_max,Полное восстановление выносливости
st_bottle_metal,Фляжка с водкой
csky_medium_outfit_name,Бронежилет ЧН-3а
stalker_tigerstripe_outfit_name,Комбинезон с тигровыми полосами
specops_bandit_outfit_name,«Берилл-5М» дезертира
st_af_death_lamp_name,«Смерть-лампа»
st_wpn_sig550_sniper,SIG SG550-1 Sniper
st_prt_o_retardant_7,Изоляционная магниевая сетка и вставки
st_wpn_ak74_modern,Модернизированный АК-74
st_sleepingpills,Таблетки 027-R
st_bolt_8,Вращающаяся личинка [6 упоров][А]
st_prt_o_ballistic_15,Слои из углеродных нанотрубок с тканью «Кевлар 49»
st_wpn_aug_freedom,Камуфлированная Steyr AUG A1
st_ecologist_outfit_orange_name,ССП-99 «Эколог»
st_prt_o_retardant_12,Алюминизированные ткани из стекловолокна
st_wpn_mp5,MP5A3
st_ecologist_outfit_yello_name,ССП-99 «Топаз»
st_barrel_5,Ствол [В] 7.92мм
st_prt_o_ballistic_17,Слои из полиэтиленового волокна с вставками из поликарбоната
st_wpn_k98,Karabiner 98 Kurz
ammo-11.43x23-hydro,Патроны .45 ACP Hydra-shock
st_letter_mercenary_name,Записка наёмника
st_prt_o_ballistic_13,Лёгкие бронепластины из полиэтилена
st_knife_needle,Нож НР-40
st_grenade_thermite,Термитная граната
st_itm_mapkit_6,Карта аномалий (Окрестности «Юпитера»)
st_upgr_w_scope_mount,Крепления для оптических прицелов
st_wpn_ak74m_custom,Заказной АК-74М
st_gas_tube_9,Эжектор от бокфлинта [Р]
st_porn2,Украинский журнал «MAXIM»
st_ui_dbg_spawn_type,Типы предметов
st_meat_lurker,Отбивные из кикиморы
st_bolt_carrier_9,Колодка от курковки [Р]
st_gloves,Кожаные перчатки
st_wpn_pm,ПМ
st_prt_o_ballistic_16,Слои из углеродных нанотрубок с тканью «Кевлар 29» (Укреп.)
st_wpn_vz61_camo,Камуфлированный Skorpion vz.61
bandit_scientific_outfit_name,Трофейная «СЕВА»
ammo-7.62x51_fmj,Патроны 7,62x51 мм НАТО FMJ
st_prt_i_wood,Деревянные части
pda_encyclopedia_name,Название
st_walkie,Рация «Walkie»
ammo-7.62x39_fmj,Патроны 7,62x39 мм FMJ
st_af_bracelet_name,«Браслет»
st_prt_o_retardant_13,Полибензимидазол содержащая ткань
st_wpn_rpk74,РПК-74
st_wpn_mp5_custom,Заказной MP5A3
st_wpn_pmm,ПММ
st_upgr_w_magazine,Комплект магазинов большой ёмкости
st_recipe_expert_1,Техническое руководство (ч. 1)
st_wpn_galil_custom,Заказной Galil AR
~,~
st_prt_i_scrap,Металлолом
military_merc_outfit_name,Бронекостюм «СКАТ-9» наёмников
ammo-5.56x45-ap,Патроны 5,56x45 мм EPR
st_ecologist_report_1_of_3_name,Добытые сведения о ходячих мертвецах, доклад 39В изм.2 (часть 1 из 3)
st_wpn_cz75_auto,CZ-75 Automatic
st_bandage,Бинт
st_meat_pseudodog,Отбивная из псевдособаки
st_trigger_components_3,Трёхрежимный УСМ куркового типа
st_ied,Самодельное взрывное устройство (Химическое)
st_wpn_vintorez,ВСС «Винторез»
mutant_snork_hand,Рука снорка
greh_armored_camo_outfit_name,Противоосколочная броня «Ирий»
st_af_black_angel_name,«Черный ангел»
st_wpn_rg6,РГ-6
pda_encyclopedia_tier,Уровень
st_equ_touristpack_name,Туристический рюкзак
isg_lcs_outfit_name,Лёгкий боевой комбинезон ИИГ
st_gun_oil_ru,Оружейная смазка «Русак»
st_wpn_aks,АКС
ammo-357-hp,Патроны .357 HP
isg_nosorog_outfit_name,Экзоскелет «Носорог» ИИГ
travel_outfit_name,Комбинезон барахольщика
st_helm_respirator_gp5,Противогаз ГП-5
st_boots,Кожаные ботинки
st_helm_cloth_mask,Тряпичная маска
st_data_export_restore_radiation_max,Полное восстановление от радиации
st_hand_rolling_tobacco,Табачные листы
st_bolt_carrier_1,Продольно-скользящий затвор с запиранием поворотом [Россия]
st_wpn_lr300_custom,Заказная LR-300ML
st_wpn_beretta_alt,Beretta 92F (Альтернативная)
ammo-9x18-pmm,Патроны 9x18 мм +P+
st_wpn_m98b,Barrett M98B «Bravo»
cs_stalker_proto_exo_outfit_name,Комбинезон ЧН-2б с протоэкзоскелетом
st_data_export_weapon_kind_shotgun,Дробовик
st_wpn_val,АС «Вал»
st_meat_psysucker,Гуляш из пси-кровососа
st_salmon,Копчёный лосось
st_akvatab,«Акватабс»
cs_exolight_outfit_name,Тяжёлый бронекостюм ЧН-5
st_hide_pseudogiant_name,Шкура псевдогиганта
st_af_fonar_name,«Фонарь»
st_grenade_f1,Граната Ф-1
st_wpn_mp5sd_custom,Заказной MP5SD6
st_wpn_vepr12,Вепрь-12 «Молот»
st_helm_m40,Противогаз M40
ammo_12.7x55_ap,Патроны 12,7x55 мм СЦ-130 ВПС
st_energy_drink,Крепкий энергетик (250 мл.)
st_pda_3_name,КПК (Модель 3.1)
st_af_fountain_name,«Фонтан»
st_prop_restore_bleeding,Заживление ран
st_wpn_vz61_alt,Skorpion vz.61 (Альтернативный)
st_grooming,Набор для стрижки
st_meat_chimera,«Пища охотника»
st_data_export_sleepiness,Сонливости
st_wpn_p90,FN P90
merc_scientific_armored_outfit_name,Боевая «СЕВА» наёмников
st_flashlight_broken,Разбитый фонарь
st_wpn_fnx45_alt,FNX-45 Tactical (Альтернативный)
st_chili,Бобы «Чили»
st_helm_rp_bala,Балаклава
military_sky_outfit_name,Бронекостюм ЧН-4б
st_wpn_bm16_alt,Улучшенный Обрез ТОЗ-66
st_pda_1_name,КПК
st_wpn_aug_modern,Модернизированная Steyr AUG A1
st_wpn_desert_eagle_modern,Модернизированный Desert Eagle
merc_fighter_outfit_name,Лёгкий комбинезон «Истребитель»
st_kolbasa,Упаковка старого мяса
st_wpn_gauss,Гаусс-винтовка
st_prt_i_plastic,Полиэтиленовая плёнка
st_wpn_ppsh41_camo,Камуфлированный ППШ-41
st_prt_o_ballistic_20,Армированные слои из углеродного волокна
st_pda_2_name,КПК (Модель 2.0)
hybrid_outfit_name,Гибридный бронекостюм
st_barrel_7,Ствол [А|В] 7.62мм
st_af_eye_name,«Глаз»
st_af_signet_name,«Перстень»
st_prt_o_ballistic_12,Усиленные пластины из кевлара «К119»
st_prt_o_ballistic_3,Пластины из кевлара «К129» с композитом из поликарбоната
st_salicidic_acid,Ампула салициловой кислоты
st_medkit_science,Научная аптечка
st_exo_repair_kit,Профессиональный набор для ремонта экзоскелетов
ammo-9x39-pab9,Патроны 9x39 мм СП-5
st_recipe_basic_4,Руководство по выживанию (ч. 4)
st_hide_psysucker_name,Кожа пси-кровососа
st_yadylin,Йадулин
ammo-12x70-buck,Патроны 12x70 мм Дробь
st_wpn_ak74_alt,АК-74 (Альтернативный)
ace_outfit_name,Бронекостюм с ЗСД «Ас»
st_rank_sniper,отряд со снайперской винтовкой
dolg_voin_outfit_name,ПС6-В «Универсальная защита»
st_data_export_projectiles,Снаряды
st_geiger_dead,Дозиметр
st_prt_o_retardant_11,Слои алюминизированной защитной ткани
st_af_geliy_name,«Гелий»
st_fieldcooker,Мультитопливная печь
st_af_pin_name,«Булавка»
st_af_zhelch_name,«Рубец»
st_af_empty_name,«Пустышка»
st_wpn_cz75,CZ-75
st_wpn_scar_custom,Камуфлированный FN SCAR-H
st_wpn_toz34_obrez_custom,Заказной обрез ТОЗ-34
st_mineral_water,Минеральная вода
st_af_lighthouse_name,«Маяк»
st_af_electra_sparkler_name,«Бенгальский огонь»
st_af_soul_name,«Душа»
st_wpn_protecta_camo,Камуфлированная Armsel Protecta
st_wpn_colt1911_merc,Colt M1911 с камуфляжем наёмников
st_itm_mapkit_1,Карта аномалий (Армейские склады)
st_recipe_advanced_4,Руководство по механике (ч. 4)
st_cigar3,Советские сигареты
st_data_export_fragments,Фрагменты
st_ecologist_report_3_of_3_name,Добытые сведения о ходячих мертвецах, доклад 39В изм.2 (часть 3 из 3)
st_upgr_o_burn,Огнестойкие ткани и вставки
ammo-4.6x30-fmj,Патроны 4.6x30 мм FMJ
st_upgr_w_rpm,Титановые штоки возвратного механизма
st_hide_burer_name,Кожа бюрера
st_device_torch_nv_3_name,Налобный фонарик с ПНВ «Оракул»
ammo-9x39-ap,Патроны 9x39 мм СП-6
ecolog,Учёные
st_glucose_s,Малая инъекция глюкозы
st_wpn_colt1911_modern,Модернизированный Colt M1911
st_af_atom_name,«Атом»
st_welding_goggles,Сварочные очки
st_wpn_fn2000_camo,Камуфлированный FN F2000
st_device_flashlight,Ручной фонарь
dolg_exolight_outfit_name,ПСЗ-10Д «Тяжёлая защита»
st_wpn_m79,M79
helm_ppm88,Противогаз ППМ-88
st_wpn_lr300,LR-300ML
ui_inv_bspeed,ui_inv_bspeed
st_detector3,Детектор «Велес»
st_wpn_l85,L85A1
st_wpn_9a91,9A-91
st_vodka,Водка «Nemiroff»
st_wpn_m4a1_custom,Заказная M4A1
st_wpn_svd,СВД
st_wpn_l85a2_custom,Заказная L85A2
st_device_torch_nv_2_name,Налобный фонарик с ПН21КЛ
ammo-5.56x45-ss190,Патроны 5,56x45 мм EP
st_bolt_4,Поворотная личинка [2 упора][В]
st_wpn_ak104,АК-104
st_prop_weight,Масса
st_wpn_m4a1_freedom,M4A1 с камуфляжем «Свободы»
st_upgr_o_carry,Система креплений для распределения нагрузки
st_af_cooler_up_name,Графеновый модуль
st_af_elektron_name,«Электрон»
ammo-9x18-fmj,Патроны 9x18 мм FMJ
st_ecologist_report_2_of_3_name,Добытые сведения о ходячих мертвецах, доклад 39В изм.2 (часть 2 из 3)
st_wpn_g3,G3A3
st_letter_military_log_name,Информационный доклад / Операция MSRC / 05.04.2014 18:36:21
st_data_export_stash_type_common,Обычный
ui_inv_accuracy,Точность
st_stalker_letter_2_of_2_name,Мемуары (часть 2 из 2)
st_vodka2,Водка «Путинка»
st_kit_hunt,Охотничий рюкзак
st_wpn_mosin,Винтовка Мосина
st_prt_w_p_spring_4,Возвратная пружина 9мм [НАТО]
st_wpn_scar,FN SCAR-H
st_analgetic,Диклофенак натрия
st_upgr_w_weight,Противовес из полимеров
bandit,Бандиты
st_wpn_sks_modern,Модернизированный СКС-45
csky,«Чистое небо»
isg,ИИГ
renegade,Ренегаты
st_hide_psy_dog_name,Мех псевдособаки
st_wpn_ak74m_duty,АК-74М с камуфляжем «Долга»
st_rank_veteran,ветеран
st_rank_professional,профи
ammo-7.62x25-p,Патроны 7,62x25 мм П
st_wpn_fort,Форт-17
st_detector4,Прототип детектора «Сварог»
st_wpn_spas12,SPAS-12
ui_inv_outfit_burn_protection,Защ. от ожога
st_af_bat_name,«Летучая мышь»
st_bolt_12,Курки от курковки [Р]
military_freedom_outfit_name,Бронекостюм «СКАТ-9» «Свободы»
st_af_black_name,«Осколок Монолита»
st_wpn_svu,ОЦ-03 СВУ
st_wpn_mp133,MP-133
st_wpn_usp_match,USP Match
st_ecologist_outfit_grn_name,ССП-99М «Эколог»
st_wpn_svt40,СВТ-40
killer,Наёмники
ammo-gauss_cardan,Самодельные аккумуляторы
st_beans,Тушёная фасоль
st_wpn_pm_custom,Заказной ПМ
st_wpn_scar_new,Новый FN SCAR-H
st_letter_stalker_letter_3_name,Письмо Николаю
st_wpn_gsh18_custom,Заказной ГШ-18
st_itm_mapkit_4,Карта аномалий (Мёртвый город)
st_bolt_15,Ударник с боевой пружиной [ПП]
st_hide_bloodsucker_name,Кожа кровососа
renegademerc_outfit_name,Лёгкий комбинезон ренегатов
st_wpn_sig550_custom,Заказной SIG SG550
st_wpn_walther,Walther P99
st_af_freon_up_name,Улучшенный фреоновый охладитель
st_wpn_beretta,Beretta 92F
st_meinkampf,«Моя борьба»
st_guitar_name,Гитара
st_data_export_impulse,Импульс
st_prt_o_retardant_8,Усиленная изоляционная сетка из оксида магния
st_gas_tube_4,Газовая трубка [АС|ПП]
st_wpn_m4,M4A1 RAS
st_prt_w_p_barrel_5,Ствол 7.62 мм
st_matches,Набор для розжига
st_itm_expertkit_name,Инструменты для калибровки
ammo-9x18-ap,Патроны 9x18 мм РГ028
st_wpn_ak12,АК-12
st_wpn_galil_modern,Модернизированный Galil AR
st_detector9,RF-ресивер
st_wpn_beretta_modern,Модернизированная Beretta 92F
ecologist_guard_outfit_name,Комбинезон «Искра»
st_prt_o_retardant_20,Атласные ткани с изоляцией из стекловолокна
novice_outfit_name,Кожаная куртка
st_wpn_rp,ПКМ
st_data_export_is_backpack,Рюкзак
st_af_medallion_name,«Медальон»
dolg_novice_outfit_name,Куртка «Долга»
st_upgr_w_inertion,Эргономичные ресиверы разной формы
st_wpn_colt1911_camo,Камуфлированный Colt M1911
st_glue_b,Тюбик клея «Звезда»
st_stim_military,Военный стимулятор
st_wpn_hk416,HK416
st_wpn_l85_alt,L85A1 (Альтернативная)
ammo-7.62x54-r,Патроны 7,62x54 мм R
st_data_export_weapon_kind_sniper,Снайперская винтовка
st_solvent,Чистящий растворитель «Nо.9»
st_meat_bloodsucker,Гуляш из кровососа
st_wpn_toz34_custom,Заказной ТОЗ-34
monolith_scientific_outfit_name,Научный комбинезон «Монолита»
st_wpn_mp5sd_new,Новый MP5SD6
st_wpn_rpd,РПД
st_wpn_abakan_camo,Камуфлированный АН-94
st_tobacco,Российский табак
st_wpn_l85a2,L85A2
st_wpn_spas12_custom,Заказной SPAS-12
st_wpn_toz34_obrez,Обрез ТОЗ-34
st_wpn_mp412,MP-412 Rex
st_medkit,Аптечка первой помощи
st_data_export_from,из
st_tomato,Консервированные томаты
ammo-7.62x39_ap,Патроны 7,62x39 мм M43
st_bolt_13,Поворотная личинка [2 упора][А][НАТО]
st_wpn_svt40_modern,Модернизированная СВТ-40
st_stalker_letter_1_of_2_name,Мемуары (часть 1 из 2)
st_wpn_ak74u,АКС-74У
st_wpn_akm,АКМ
st_wpn_vssk,ВССК «Выхлоп»
st_wpn_l96a1,L96A1
st_device_torch_name,Налобный фонарик
st_wpn_g36k,G36K
st_barrel_4,Ствол [В] 7.62мм
mutant_tushkano_meat,Мясо тушкана
st_wpn_spas12_nimble,Модернизированный SPAS-12
st_helm_battle,Шлем «Сфера М12»
ammo-5.7x28-ss190,Патроны 5.7х28 мм SS190
st_wpn_sig220_nimble,SIG P220 «Альпиец»
st_monolith_prayer_2_of_3_name,Молитва Монолиту (часть 2 из 3)
st_prt_o_ballistic_1,Пластины из кевлара «К129» с укреплёнными керамическими вставками
st_wpn_tt33,TT-33
st_monolith_prayer_3_of_3_name,Молитва Монолиту (часть 3 из 3)
trenchcoat_outfit_name,Плащ
st_barrel_2,Ствол [Р] 18.5мм
st_wpn_g36_camo,Камуфлированная G36
st_wpn_val_modern,Модернизированный АС «Вал»
st_shovel_old,Металлическая лопата
st_jgut_zhgut,Медицинский жгут
st_conserva,Рыбные консервы
st_trigger_components_4,Однорежимный УСМ ударникового типа
isg_scientific_outfit_name,Научный комбинезон ИИГ
st_recipe_basic_2,Руководство по выживанию (ч. 2)
dolg_exo_outfit_name,ПСЗ-10Д «Механизированная защита»
monolith_nosorog_outfit_name,Экзоскелет «Носорог» «Монолита»
military_exolight_outfit_name,Тяжёлый армейский бронекостюм
st_ecologist_outfit_red_name,ССП-99М «Рубин»
exo_merc_urban_outfit_name,ТБ-1 наёмников «Город»
army_outfit_name,Армейский бронежилет
st_wpn_l85a2_modern,Модернизированная L85A2
st_wpn_ak101_camo,Камуфлированный АК-101
st_corn,Консервированная кукуруза
st_wpn_l96a1m,L96 AWSM
st_recipe_advanced_3,Руководство по механике (ч. 3)
dolg_scientific_red_outfit_name,ПС5-9Мд «Егерь»
dolg_proto_exo_outfit_name,Комбинезон ПС5-М с протоэкзоскелетом
merc_exolight_outfit_name,Тяжёлый бронекостюм наёмников
st_knife_hunting,Охотничий нож
greh_trenchcoat_outfit_name,Тяжёлый плащ «Греха»
st_lead_box_name,СИМК (Пустой)
st_wpn_ak105,АК-105
st_prt_o_fabrics_2,Листы синтетической ткани
monolith_proto_exo_outfit_name,Комбинезон «Монолита» с протоэкзоскелетом
st_prt_i_paper,Листы бумаги
st_bolt_1,Клин затвора [Р]
zombied,Зомбированные
st_wpn_ppsh41_new,Модернизированный ППШ-41
st_caffeine,Таблетки кофеина
st_af_fuzz_kolobok_name,«Колобок»
st_af_iam_name,Самодельный прикладной модуль (пустой)
st_bolt_carrier_7,Затвор рычажного типа с запиранием клином
cs_stalker_outfit_name,Комбинезон ЧН-2б
st_helm_respirator,Противогаз ПБФ
st_meat_tushkano,Жареный тушкан
st_prt_o_fabrics_1,Листы ткани
